beat,White,Black,Hispanic,Asian,Native,Other
1713,1341.0697935888923,1865.3001126385461,937.4999020717743,317.0764662292246,0.0,0.0
1651,0.0,0.0,0.0,0.0,0.0,0.0
1914,641.2881333479602,5878.781077102453,1621.201005581332,407.48788840215605,0.0,0.0
1915,1178.32232850554,1331.124001029627,1597.0272532133565,283.1750222889785,0.0,0.0
1913,739.593202026764,2429.896178535681,535.7215444128789,121.08396049984826,159.01564634968594,0.0
735,251.12094497960024,441.68119017925835,148.64549510627094,0.0,0.0,0.0
1912,1680.5556370203967,886.0162909061555,1237.5401615476546,356.79407027288624,26.975868577178865,1.6091508673869481
1723,1423.8372821722307,3471.382301314429,2127.928846754426,348.7841128521471,0.0,0.0
1911,1917.6180870567252,800.6339943101436,1711.65762734537,284.14369397297725,0.0,5.792943122593013
1722,1674.9774903879604,1117.0421877978686,724.7465994061299,362.5922815427746,103.28813683310423,0.0
1923,1052.6524600734838,1983.3887586319468,909.2450084212762,174.68379368111442,0.0,0.0
1724,1550.826257512953,1034.1993461190793,1510.4494939015792,204.39499086496792,0.0,0.0
2024,964.2597920358918,1811.2630786405296,755.7273595770602,363.2117776049333,31.522085313337055,0.0
1624,1344.4881182219658,1529.276577823458,1424.886291217684,251.11806450643314,30.67176752791521,0.0
1655,0.0,0.0,0.0,0.0,0.0,0.0
1632,1475.8246135906368,2466.7278546316456,1222.1475620049503,195.3140501716702,0.0,0.0
1925,2707.479236456312,1510.2868529032255,1759.225333617838,726.1808724377566,13.487934288589432,0.0
1922,2254.621544887541,370.92309176955956,1422.3523973931456,285.11236565697607,0.0,0.0
1732,1361.6434264653221,440.93770570968496,1330.351349319499,139.95687030870613,0.0,0.0
1921,1492.7200821923648,348.52773528535977,1292.9058524549537,316.7556406676031,1.4197825566936244,0.0
1653,0.0,0.0,0.0,0.0,0.0,0.0
1733,1265.1601826310305,772.3090724248422,1326.7889684376555,154.7878663097505,0.0,0.0
1652,0.0,0.0,0.0,0.0,0.0,0.0
1731,1265.8696182474591,962.0459033665853,1167.075558901679,93.07728524793367,27.973870392299062,15.396154997505828
1634,868.0266883733381,1145.7737827655628,3040.1785402864957,170.14158718370652,0.0,0.0
1633,1466.373600276266,1273.6080477848611,2929.1835980320466,385.77557735770887,41.71360383796469,0.0
1924,1449.2933347578553,421.31264385900914,847.6409298061126,255.72932457567953,0.0,0.0
1631,2866.1012618356754,1723.3952765564666,2148.6094106328724,443.3992878120836,0.0,0.7478309135085464
1934,2226.2156929697626,1077.7765308021164,1152.5421290279985,446.88053688477333,0.0,0.0
1933,1223.9799020068906,447.90712968399646,476.45686118816445,214.39933272506465,9.228586618508558,13.677782372789059
2422,1305.517706971342,1757.4400037485996,813.9238813802317,67.79766936226993,0.0,0.0
2424,1142.5044149116773,2195.2732257463795,1387.2337673303016,150.81810024455055,4.271111318295153,0.0
1611,3243.8158973996697,1320.9540718660828,848.2540302372532,290.54481376468954,19.629931217865735,0.0
2411,3320.4843156049487,2064.20512602816,2702.8037989168442,479.93984236700436,1.281333395488546,0.0
2033,801.4936942469195,1299.678081789301,458.55210864183465,153.03963421048675,9.006310089524874,0.0
2423,1103.2212694947016,1698.247958714565,566.1034767691332,72.73097170671784,3.4168890546361226,13.4138784998169
1621,2012.0881449284734,1164.7121923980515,499.3268404942696,583.2126063355929,39.25986243573147,0.3739154567542732
2431,866.3462549144961,652.991607915144,533.6746354549183,60.32724009782022,0.0,0.0
1654,1163.9411742163982,1141.0391803574407,1623.714629510884,232.61782062371282,0.0,0.0
2432,1925.8150390944825,1369.87304221623,1097.7763318960135,147.43526435121484,5.125333581954184,0.0
2022,843.6775728914943,1949.9674615896304,523.6609273130891,291.4958952058487,0.0,0.0
1622,2723.5213195930114,1737.5990837808329,2063.784007609147,728.1817305313357,57.6629229524806,0.0
1614,2199.478926161689,4280.080576942433,454.2069452688838,724.845620978714,0.0,0.0
1612,2582.0820168882888,601.2945058315144,441.87417390727836,229.5849937576931,20.856801918982345,0.7478309135085464
2412,2029.3155419895077,947.5424986797448,1233.096682071379,789.0464721205551,28.616445832577526,3.353469624954225
2023,1023.5559988098695,1385.2424738682917,522.7308013320711,282.57430218012524,0.0,0.0
1712,1977.6700200641696,1942.7982548541877,1638.2993855499572,644.0402631258122,0.0,0.0
1613,1685.3763915609977,189.38409632488643,773.956602766118,187.42870032001895,0.0,6.356562764822644
2433,2665.6084063782428,1562.9518557796287,1570.9972014441855,493.75308893145854,16.23022300952158,0.0
1823,420.9027897287362,1088.8209442287289,294.1620251397354,76.30284551046499,0.0,0.0
2413,2122.9364514263716,1472.2846756878137,2360.499362822354,1052.061962827407,99.94400484810659,0.0
1711,3332.2190903652054,1042.2163953138008,544.0547246770757,790.1340972970194,15.062853288161033,0.0
2013,1459.9203661096446,506.18092998308185,943.1477447521711,153.03963421048675,0.0,10.58876939857515
2012,1215.5722388665422,411.6097597905132,971.5165871732177,85.78454832426388,58.54101558191167,0.0
2011,1528.3696786272565,1004.2557596639435,1861.6471510073673,537.5259797998375,0.0,0.0
1623,1819.6459600272321,2613.5005292834326,1470.9085843475773,695.1239176917207,35.57925033238165,17.57402646745084
2032,1292.7766960084996,132.39963826959615,743.6357218238272,84.0688573577786,0.0,0.0
1213,1412.4127600292313,511.6405018784344,407.165542477264,244.78135910453668,0.0,0.0
2031,1301.1338795135568,182.83759570563276,982.2130359549237,146.5200085378427,1.5010516815874788,0.0
1423,609.4411627351797,903.4594086310635,721.1003272194637,173.64747275505442,0.0,0.0
