Block_Location
3200 ADELINE ST
1700 SHATTUCK AVE
2000 ALLSTON WAY
2200 SHATTUCK AVE
65 SHATTUCK AVE
1600 FAIRVIEW ST
2600 DANA ST
2400 ASHBY AVE
100 SEAWALL DR
200 MARINA
1600 FRANCISCO ST
1900 SHATTUCK AVE
1800 FOURTH ST
1900 SAN PABLO AVE
1700 UNIVERSITY AVE
2100 KITTREDGE ST
1700 MCGEE AVE
2300 COLLEGE AVE
1200 FIFTH ST
2000 ADDISON ST
2400 DURANT AVE
1500 DWIGHT WAY
1400 STANNAGE AVE
100 BERKELEY SQ
1300 NINTH ST
1400 STANNAGE AVE
2300 EIGHTH ST
2500 BENVENUE AVE
BANCROFT WY &amp; PIEDMONT AV
2100 SHATTUCK AVE
2600 DURANT AVE
2200 NINTH ST
2500 BENVENUE AVE
3300 ADELINE ST
2900 ELMWOOD CT
2400 PARKER ST
1000 KEITH AVE
2500 REGENT ST
EUCLID AV &amp; HEARST AV
1400 UNIVERSITY AVE
3100 SAN PABLO AVE
2300 TELEGRAPH AVE
2300 EIGHTH ST
900 SAN BENITO RD
2100 BERKELEY WAY
2200 VINE ST
1500 PARKER ST
1400 EDITH ST
2100 ALLSTON WAY
2400 SHATTUCK AVE
800 NORTHAMPTON AVE
SHATTUCK AV &amp; DERBY ST
2100 VINE ST
1700 UNIVERSITY AVE
2300 NINTH ST
2000 BERKELEY WY
2600 ACTON ST
1700 SHATTUCK AVE
800 HEINZ AVE
2000 UNIVERSITY AVE
1200 BERKELEY WAY
1300 HEARST AVE
1300 DELAWARE ST
1500 HOLLY ST
2000 UNIVERSITY AVE
2000 OREGON ST
1200 ASHBY AVE
800 GILMAN ST
1300 UNIVERSITY AVE
1600 NINTH ST
7 SPINNAKER WAY
1900 SHATTUCK AVE
1000 DELAWARE ST
1700 SOLANO AVE
2700 DURANT AVE
2400 HEARST AVE
1000 KEITH AVE
2700 BANCROFT WAY
1900 SHATTUCK AVE
2000 SAN PABLO AVE
2500 DWIGHT WAY
1200 SAN PABLO AVE
2600 DANA ST
1800 FOURTH ST
ACTON STREET &amp; CEDAR ST
2000 UNIVERSITY AVE
1200 BLAKE ST
1600 BEVERLY PL
2400 ASHBY AVE
4TH STREET &amp; GILMAN ST
PARKER STREET &amp; ETNA ST
2800 TELEGRAPH AVE
1900 BONITA AVE
600 CAMELIA ST
1300 ADDISON ST
2400 SHATTUCK AVE
HEARST AV &amp; OXFORD ST
MARTIN LUTHER KING JR &amp;BANCROFT
900 DWIGHT WAY
1100 DELAWARE ST
2500 LE CONTE AVE
100 SEAWALL DR
DERBY STREET &amp; HILLEGASS AV
"Berkeley, CA"
2000 UNIVERSITY AVE
1100 MILLER AVE
FULTON STREET &amp;DURANT AVE
2100 SHATTUCK AVE
2700 9TH ST
2300 TELEGRAPH AVE
1900 DELAWARE ST
1000 GILMAN ST
2500 TENTH ST
2002 6TH ST
1400 CARLETON ST
2000 BANCROFT WAY
1200 CARRISON ST
2400 SHATTUCK AVE
2100 FOURTH ST
1700 SONOMA AVE
2200 VIRGINIA ST
900 GILMAN ST
1800 FOURTH ST
1700 ADDISON ST
1200 ASHBY AVE
2100 SHATTUCK AVE
1700 FIFTH ST
200 MARINA BLVD
2200 HAROLD WY
2100 WARD ST
2300 TELEGRAPH AVE
100 SEAWALL DR
1800 FOURTH ST
2000 ADDISON ST
1900 SIXTH ST
SHATTUCK AV &amp; ALLSTON WY
2200 BYRON ST
1600 STUART ST
200 MARINA
1200 DELAWARE ST
AMADOR AV &amp; MARIPOSA AV
800 ARLINGTON AVE
1000 DELAWARE ST
MARTIN LUTHER KING JR WY &amp; DERBY ST
1000 OXFORD ST
1700 SAN PABLO AVE
VINE STREET &amp; WALNUT ST
2300 TELEGRAPH AVE
2000 FOURTH ST
"Berkeley, CA"
1500 POSEN AVE
1900 SHATTUCK AVE
2600 CEDAR ST
1834 PORTLAND AVE
1500 DWIGHT WAY
2400 ASHBY AVE
